,Unnamed: 0_x,label,onset,duration,amp,avg_vel,med_vel,peak_vel,start_x,start_y,end_x,end_y,ind_id_fn,ID,Gender,DoB,ROI1,ROI2,ROI3,Version,Valid,Valid Freeviewing
26094,9,SACC,3.4189999103546143,0.334,869.127,158682.326,140456.817,231010.373,911.2,181.2,239.3,732.5,20210710152837828,202107101528378,MALE,1994,Octopus,SwimmingMan,Woman,2,True,True
26095,10,FIXA,3.753000020980835,0.934,331.862,34126.786,29583.423,96105.899,239.3,732.5,285.0,1061.2,20210710152837828,202107101528378,MALE,1994,Octopus,SwimmingMan,Woman,2,True,True
26096,11,SACC,4.687000036239624,0.417,1331.133,191459.071,173469.449,315353.435,285.0,1061.2,1576.4,738.4,20210710152837828,202107101528378,MALE,1994,Octopus,SwimmingMan,Woman,2,True,True
26097,12,FIXA,5.103999853134155,1.768,471.454,31008.959,19298.249,100088.525,1576.4,738.4,1423.0,292.6,20210710152837828,202107101528378,MALE,1994,Octopus,SwimmingMan,Woman,2,True,True
26098,13,SACC,6.871999979019165,0.068,118.251,105890.667,104604.353,110902.957,1423.0,292.6,1322.0,231.1,20210710152837828,202107101528378,MALE,1994,Octopus,SwimmingMan,Woman,2,True,True
26099,14,FIXA,6.93999981880188,0.484,425.872,54350.789,58324.401,99120.937,1322.0,231.1,901.4,164.3,20210710152837828,202107101528378,MALE,1994,Octopus,SwimmingMan,Woman,2,True,True
26100,15,none,7.424000024795532,0.049,86.602,104554.792,104149.584,108777.915,901.4,164.3,814.8,163.7,20210710152837828,202107101528378,MALE,1994,Octopus,SwimmingMan,Woman,2,True,True
26101,16,FIXA,7.472999811172485,2.519,715.396,37658.753,36670.475,97666.754,814.8,163.7,100.0,192.9,20210710152837828,202107101528378,MALE,1994,Octopus,SwimmingMan,Woman,2,True,True
26252,0,FIXA,0.0160000324249267,0.567,272.748,42655.881,34119.592,82614.266,795.4,446.5,921.4,688.4,20210711104535214,202107111045352,MALE,1975,Turtle,Man,BoatSunset,2,True,True
26253,1,SACC,0.5830001831054688,0.184,495.717,159077.645,165210.469,202725.363,921.4,688.4,496.3,943.4,20210711104535214,202107111045352,MALE,1975,Turtle,Man,BoatSunset,2,True,True
26254,2,FIXA,0.7670001983642578,0.4,380.746,64871.623,67642.858,94962.493,496.3,943.4,117.9,985.6,20210711104535214,202107111045352,MALE,1975,Turtle,Man,BoatSunset,2,True,True
26255,3,SACC,1.1670000553131104,0.2,503.447,153116.587,155178.771,199261.898,117.9,985.6,207.0,490.1,20210711104535214,202107111045352,MALE,1975,Turtle,Man,BoatSunset,2,True,True
26256,4,FIXA,1.3670001029968262,0.701,27.356,42720.426,39773.222,86976.159,207.0,490.1,211.4,463.1,20210711104535214,202107111045352,MALE,1975,Turtle,Man,BoatSunset,2,True,True
26257,5,SACC,2.068000078201294,0.267,857.611,194156.65,183555.435,298753.709,211.4,463.1,1019.1,174.8,20210711104535214,202107111045352,MALE,1975,Turtle,Man,BoatSunset,2,True,True
26258,6,FIXA,2.3350000381469727,0.451,91.989,36666.539,35605.215,82473.153,1019.1,174.8,975.5,93.8,20210711104535214,202107111045352,MALE,1975,Turtle,Man,BoatSunset,2,True,True
26259,7,SACC,2.7860000133514404,0.183,412.689,136098.63,141652.293,167355.452,975.5,93.8,1363.5,234.4,20210711104535214,202107111045352,MALE,1975,Turtle,Man,BoatSunset,2,True,True
26260,8,FIXA,2.969000101089477,1.084,432.407,29796.526,20598.785,81778.674,1363.5,234.4,1795.1,260.8,20210711104535214,202107111045352,MALE,1975,Turtle,Man,BoatSunset,2,True,True
26261,9,SACC,4.052999973297119,0.117,223.164,115789.998,118089.727,136916.055,1795.1,260.8,1826.1,481.8,20210711104535214,202107111045352,MALE,1975,Turtle,Man,BoatSunset,2,True,True
26262,10,FIXA,4.170000076293945,0.784,275.97,29275.342,21831.824,88260.72,1826.1,481.8,1679.8,715.8,20210711104535214,202107111045352,MALE,1975,Turtle,Man,BoatSunset,2,True,True
26263,11,SACC,4.953999996185303,0.067,105.99,96768.46,97564.695,99098.972,1679.8,715.8,1584.9,763.0,20210711104535214,202107111045352,MALE,1975,Turtle,Man,BoatSunset,2,True,True
26264,12,FIXA,5.021000146865845,0.434,248.529,36857.902,33742.659,86724.714,1584.9,763.0,1369.0,886.1,20210711104535214,202107111045352,MALE,1975,Turtle,Man,BoatSunset,2,True,True
26265,13,SACC,5.455000162124634,0.083,217.31,151412.137,147698.93,202809.412,1369.0,886.1,1321.7,674.0,20210711104535214,202107111045352,MALE,1975,Turtle,Man,BoatSunset,2,True,True
26266,14,FIXA,5.538000106811523,0.468,93.034,36859.62,36017.818,74424.959,1321.7,674.0,1292.1,762.2,20210711104535214,202107111045352,MALE,1975,Turtle,Man,BoatSunset,2,True,True
26267,15,SACC,6.00600004196167,0.099,246.239,154428.901,157742.863,177803.528,1292.1,762.2,1250.5,519.5,20210711104535214,202107111045352,MALE,1975,Turtle,Man,BoatSunset,2,True,True
26268,16,FIXA,6.105000019073486,1.252,316.699,36068.437,28811.362,86819.788,1250.5,519.5,946.1,432.1,20210711104535214,202107111045352,MALE,1975,Turtle,Man,BoatSunset,2,True,True
26269,17,SACC,7.357000112533569,0.117,230.252,118101.746,114850.225,143408.983,946.1,432.1,737.0,528.5,20210711104535214,202107111045352,MALE,1975,Turtle,Man,BoatSunset,2,True,True
26270,18,FIXA,7.473999977111816,0.6,427.722,50523.89,50098.436,87012.76,737.0,528.5,314.2,463.8,20210711104535214,202107111045352,MALE,1975,Turtle,Man,BoatSunset,2,True,True
26271,19,none,8.074000120162964,0.05,74.832,91974.84,92654.859,93113.028,314.2,463.8,333.5,391.5,20210711104535214,202107111045352,MALE,1975,Turtle,Man,BoatSunset,2,True,True
26272,20,FIXA,8.124000072479248,0.901,308.16,33162.172,30502.009,82103.028,333.5,391.5,114.6,174.6,20210711104535214,202107111045352,MALE,1975,Turtle,Man,BoatSunset,2,True,True
26273,21,SACC,9.025000095367432,0.234,574.124,147955.048,152662.41,202385.568,114.6,174.6,687.2,132.8,20210711104535214,202107111045352,MALE,1975,Turtle,Man,BoatSunset,2,True,True
26274,22,FIXA,9.259000062942505,0.734,400.088,33663.034,28910.095,82438.781,687.2,132.8,1075.1,34.8,20210711104535214,202107111045352,MALE,1975,Turtle,Man,BoatSunset,2,True,True
26433,0,FIXA,0.0180001258850097,0.132,35.967,44153.019,39060.276,100193.371,866.5,546.0,837.3,525.0,20210711121139103,202107111211391,FEMALE,2000,Turtle,WomanOnBoat,Mermaid,2,True,True
26434,1,none,0.1500000953674316,0.05,94.882,112057.409,112502.526,113942.477,837.3,525.0,810.1,434.1,20210711121139103,202107111211391,FEMALE,2000,Turtle,WomanOnBoat,Mermaid,2,True,True
26435,2,FIXA,0.2000000476837158,2.319,516.444,36412.593,31133.79,99787.303,810.1,434.1,296.2,485.3,20210711121139103,202107111211391,FEMALE,2000,Turtle,WomanOnBoat,Mermaid,2,True,True
26436,3,SACC,2.5190000534057617,0.134,320.001,144187.254,142964.28,166896.132,296.2,485.3,210.1,793.5,20210711121139103,202107111211391,FEMALE,2000,Turtle,WomanOnBoat,Mermaid,2,True,True
26437,4,FIXA,2.6530001163482666,0.517,290.376,47719.425,42201.298,100747.016,210.1,793.5,286.3,1073.7,20210711121139103,202107111211391,FEMALE,2000,Turtle,WomanOnBoat,Mermaid,2,True,True
26438,5,SACC,3.1700000762939453,0.15,395.992,159049.513,165363.202,203330.286,286.3,1073.7,642.6,900.9,20210711121139103,202107111211391,FEMALE,2000,Turtle,WomanOnBoat,Mermaid,2,True,True
